leader.1,controlfield.1,controlfield.2,controlfield.3,controlfield.4,datafield.1,datafield.2,datafield.3,datafield.4,datafield.5,datafield.6,datafield.7,datafield.8,datafield.9,datafield.10,datafield.11,datafield.12,datafield.13,datafield.14,datafield.15,datafield.16,datafield.17,datafield.18,datafield.19
00522nx  a22001691i 4500,22318142760001488,9979980370101488,1103102u    8   4001uulat0000000,20150203133032.0,"
      DIGI_0033_0088
    ","
      Mevr. P[rosper] Poullet
      Manuscriptdon
      201103
    ","
      Poullet, Ivo Josephus
    ","
      BIBC
      BRES
      Ms. 288
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Poullet, Ivo Josephus
      Poullet, Membre des Etats Généraux (business card)
    ","
      BIBC
      CaaCDPorcus24
    ","
      BIBC
      C63
    ","
      1946
    ",,,,,,,,,
00639nx  a22001691i 4500,22317954330001488,9980013690101488,20150204164037.0,1103172u    8   4001uulat0000000,"
      DIGI_0033_0096
    ","
      GK38168-257
      Manuscriptdon
      201103
    ","
      Librairie Gason (?)
    ","
      Coppens, Joseph, Leuven (ex libris)
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 296
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Librairie Gason (?)
      1947 payé 250 fr.
    ","
      Coppens, Joseph, Leuven (ex libris)
      Ex libris Josephi Coppens in Alma Universitatis Lovaniensi professoris
      Ownership stamp
    ","
      BIBC
      CaaCDPorcus 31/II
    ",,,,,,,,,
     nx  a22     1i 4500,22317325220001488,9977413430101488,1010212u    8   4001uulat0000000,,"
      2011: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      BIBC
      BRES
      Ms. 206
    ","
      Devroe (Leuven)
      Manuscriptacq
      201010
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      1990
    ","
      van Cantelbeke, Henricus Joannes
      Ex Libris Henrici Joannis Van Cantelbeek
      Handwritten
    ","
      BIBC
      CaaCDLiliium4/2
    ","
      van Cantelbeke, Henricus Joannes
      Handwritten
    ",,,,,,,,,,
00305nx  a22001211i 4500,22317289680001488,9977449110101488,20150120161809.0,1010282u    8   4001uulat0000000,"
      DIGI_0033_0029
    ","
      201010
    ","
      BIBC
      BRES
      Ms. 229
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDCastrum3
    ",,,,,,,,,,,,,
00446nx  a22001451i 4500,22317648870001488,9977783060101488,1101192u    8   4001uulat0000000,20150121132620.0,"
      DIGI_0033_0038
    ","
      PK352-3
      201101
    ","
      Radoux, Joannes
      Handwritten
    ","
      BIBC
      BRES
      Ms. 238
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Radoux, Joannes
      Joannes Radoux Visetensis Anno Domini 1663
      Handwritten
    ","
      BIBC
      CaaCDFalco1
    ",,,,,,,,,,,
00323nx  a22001211i 4500,22317963300001488,9980015510101488,20150204164033.0,1103172u    8   4001uulat0000000,"
      DIGI_0033_0097
    ","
      K175207
      Manuscriptacq
      201103
    ","
      BIBC
      BRES
      Ms. 297
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD27
    ",,,,,,,,,,,,,
00727nu  a2200229un 4500,22270029420001488,9915089830101488,20150108143354.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0067
    ","
      Manuscriptacq
      201102
    ","
      Vesters
      Handwritten
    ","
      Van Linden, D. B.
      Handwritten
    ","
      BIBC
      BRES
      Ms. 267
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Vesters
      Ad usum [...] Vesters [...] 22 10bris 1773
      Handwritten
    ","
      Van Linden, D. B.
      D. B. V Linden D B. Van Linden 1774
      Handwritten
    ","
      BIBC
      CaaCDPorcus15
    ","
      Bandcover in poor condition
    ","
      Endpaper (f. 0) is damaged
    ","
      1994.02.18
    ",,,,,,
00463nx  a22001451i 4500,22317170440001488,9977254090101488,20150107162901.0,1009222u    8   4001uulat0000000,"
      DIGI_0033_0015
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      BIBC
      BRES
      Ms. 215
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium11
    ",,,,,,,,,,,
00465nx  a22001451i 4500,22316995720001488,9977262940101488,20150116110151.0,1009242u    8   4001uulat0000000,"
      DIGI_0033_0017
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      BIBC
      BRES
      Ms. 217
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium12/2
    ",,,,,,,,,,,
00407nx  a22001451i 4500,22317212570001488,9977372040101488,20150120162830.0,1010132u    8   4001uulat0000000,"
      DIGI_0033_0030
    ","
      Baggerman, Georges
      Manuscriptacq
      201010
    ","
      BIBC
      BRES
      Ms. 230
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDCastrum4
    ","
      Bandcover in poor condition
    ","
      198303
    ",,,,,,,,,,,
00331nx  a22001331i 4500,22318166930001488,9979902360101488,1102212u    8   4001uulat0000000,20150128140308.0,"
      DIGI_0033_0071
    ","
      201102
    ","
      BIBC
      BRES
      Ms. 271
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus19
    ","
      BIBC
      C69
    ",,,,,,,,,,,,
00504nx  a22001571i 4500,22326064560001488,9927563330101488,0605162u    8   4001uulat0000000,20150210141046.0,"
      DIGI_0033_0127
    ","
      Henri Godts (veiling)
      Monographacq
      200605
      BIBC
      2006, 25/4, nr. 124
    ","
      Sierpapier
    ","
      BIBC
      BRES
      Ms. 327
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD18
    ","
      Bandcover in very poor condition ; some notes on the backcover (illegible)
    ","
      200605
    ",,,,,,,,,,
00542nu  a2200181un 4500,22292187320001488,9922947680101488,20150108143410.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0051
    ","
      Librairie des éléphants (Bruxelles) - Antoine Jacobs
      Manuscriptacq
      201101
    ","
      BIBC
      BRES
      Ms. 251
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDFalco14
    ","
      F. 19v-20r : small paper is inserted
    ","
      F. 17, 40 : slightly damaged
    ","
      20010908
    ",,,,,,,,,,
00622nx  a22001691i 4500,22317000360001488,9977265180101488,1009272u    8   4001uulat0000000,20150116131856.0,"
      DIGI_0033_0020
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      Archimedes
      Handwritten
    ","
      BIBC
      BRES
      Ms. 220
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      Archimedes
      ""Dicubi consistam, coelum terramque movebo mechanica ... Archimed :"" (p. 0)
      Handwritten
    ","
      BIBC
      CaaCDLilium13/1
    ",,,,,,,,,
00378nx  a22001331i 4500,22317750010001488,9977654930101488,20150108143358.0,1012152u    8   4001uulat0000000,"
      DIGI_0033_0045
    ","
      Verheyden, A. (Sint-Denijs-Westrem)
      Manuscriptdon
      201012
    ","
      BIBC
      BRES
      Ms. 245
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDFalco8
    ","
      198007
    ",,,,,,,,,,,,
00454nx  a22001571i 4500,22318211280001488,9979988900101488,1103142u    8   4001uulat0000000,20150203141138.0,"
      DIGI_0033_0089
    ","
      Mevr. P[rosper] Poullet
      Manuscriptdon
      201103
    ","
      BIBC
      BRES
      Ms. 289
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus32
    ","
      BIBC
      C13
    ","
      Bandcover and endpapers are in poor condition
    ","
      1946
    ",,,,,,,,,,
00555nx  a22001571i 4500,22318240630001488,9979975230101488,20150203104641.0,1103092u    8   4001uulat0000000,"
      DIGI_0033_0083
    ","
      PK491-4
      201103
    ","
      Walckiers, Petrus Jacobus Franciscus
      Handwritten
    ","
      BIBC
      BRES
      Ms. 283
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Walckiers, Petrus Jacobus Franciscus
      P. J. F. Walckiers 1780
      Handwritten
    ","
      BIBC
      CaaCDPorcus23/II
    ","
      Endpaper (coverfront) is missing ; some other folios are damaged
    ",,,,,,,,,,
00730nu  a2200205un 4500,22314275940001488,9918340830101488,20150109144904.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_110
    ","
      201104
    ","
      Adams, Henricus Franciscus
      Handwritten
    ","
      de Smet, J.
      Handwritten
    ","
      BIBC
      BRES
      Ms. 310
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Adams, Henricus Franciscus
      [..]dams Collegij Falcolnis Alumnus Ao 1668
      Handwritten
    ","
      de Smet, J.
      15 augustus 1955
      Handwritten
    ","
      Bandcover in very very bad condition (water damage, mildew)
    ","
      Some folios at the beginning are missing and also between f. 132-133
    ",,,,,,,,
00446nx  a22001571i 4500,22317784710001488,9977739730101488,1101122u    8   4001uulat0000000,20150127112936.0,"
      DIGI_0033_0057
    ","
      Devroe (Leuven)
      Manuscriptacq
      201101
    ","
      BIBC
      BRES
      Ms. 257
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus3
    ","
      BIBC
      C201
    ","
      Cover is very poor condition. Humidity damage
    ","
      1978
    ",,,,,,,,,,
00432nu  a2200169un 4500,22279226050001488,9911058340101488,20150211134829.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0133
    ","
      Manuscriptacq
      201104
    ","
      BIBC
      BRES
      Ms. 333
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD32
    ","
      Bandcover in very poor condition
    ","
      19891028
    ",,,,,,,,,,,
00887nx  a22002411i 4500,22317719630001488,9977689530101488,1012222u    8   4001uulat0000000,20150108143344.0,"
      De Vriendt (Gent)
      Manuscriptdon
      201012
    ","
      Vaes, Lambertus
      Handwritten
    ","
      Hermans, Willibrord
      Handwritten
    ","
      Mme de Brabant
      Handwritten
    ","
      Minne, A. J.
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 249
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Vaes, Lambertus
      Lambertus Vaes Hercius Ao 1614
      Handwritten
    ","
      Hermans, Willibrord
      Handwritten
      Ex Libris Willebrordi Hermans
    ","
      Mme de Brabant
      Handwritten
    ","
      Minne, A. J.
      Ex libris Dr A.J. Minne
      Ownership stamp
    ","
      BIBC
      CaaCDFalco12
    ","
      BIBC
      C205
    ","
      F. 246r-256v = f. 1r-11v : back-to-front/in reverse binding
    ","
      1975
    ",,,
00579nx  a22001811i 4500,22317578070001488,9977521810101488,20150122133754.0,1011172u    8   4001uulat0000000,"
      DIGI_0033_0040
    ","
      Gothier, Léopold (Luik)
      Manuscriptacq
      201011
    ","
      BIBC
      BRES
      Ms. 240
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      C17
    ","
      BIBC
      CaaCDFalco3
    ","
      2013: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      F. 117bis-117ter : 2 not-bound f. with text
    ","
      Bandcover in poor condition
    ","
      194904
    ",,,,,,,,
00772nx  a22002051i 4500,22317214770001488,9977344860101488,20141217105829.0,1010112u    8   4001uulat0000000,"
      DIGI_0033_0001
    ","
      Devroe (Leuven)
      Manuscriptacq
      201010
    ","
      Van Loock, A.
      Ownership stamp
    ","
      de Robersart (comte)
      Bookplate
    ","
      BIBC
      BRES
      Ms. 201
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Van Loock, A.
      A. Van Loock Rue St-Jean, 51 1000 Bruxelles
      Ownership stamp
    ","
      de Robersart (comte)
      Bibliothèque de Mr. le comte de Robersart
      Bookplate
    ","
      BIBC
      CaaCDLilium1
    ","
      F. 87 and, 89 are missing ; f. 190 is skipped in nummeration
    ","
      Bandcover is damaged and in poor condition
    ","
      1998
    ",,,,,,
00430nx  a22001451i 4500,22317730480001488,9977672720101488,20150122133748.0,1012202u    8   4001uulat0000000,"
      DIGI_0033_0046
    ","
      201012
    ","
      Boeynaems, P.
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 246
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Boeynaems, P.
      ex libris Dr. Med. P. Boeynaems
      Ownership stamp
    ","
      BIBC
      CaaCDFalco9
    ",,,,,,,,,,,
00432nx  a22001571i 4500,22317204500001488,9977348230101488,20150120161813.0,1010132u    8   4001uulat0000000,"
      DIGI_0033_0028
    ","
      201010
    ","
      BIBC
      BRES
      Ms. 228
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDCastrum2
    ","
      BIBC
      C27
    ","
      Incomplete : f. 73 is missing, f. 203 bound after f. 206
    ","
      Waterdamage
    ",,,,,,,,,,
     nu  a22     un 4500,22327256920001488,9926195930101488,20050123000000.0,      0u    0   4000uuund0000000,"
      BIBC
      BRES
      Ms. 1620
    ","
      Godts
      Manuscriptacq
      201205
    ","
      Contemporary cover
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      2004.12.04
    ","
      BIBC
      CaaCD24
    ",,,,,,,,,,,,,
00312nx  a22001211i 4500,22318083480001488,9979740960101488,1102162u    8   4001uulat0000000,20150127163100.0,"
      DIGI_0033_0065
    ","
      PK402
      201102
    ","
      BIBC
      BRES
      Ms. 265
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus13
    ",,,,,,,,,,,,,
00695nu  a2200193un 4500,22278428740001488,998150740101488,20150121130156.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0035
    ","
      201011
    ","
      Adrianus Josephus Staumont
      Handwritten
    ","
      BIBC
      BRES
      Ms. 235
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Adrianus Josephus Staumont
      Adrianus josephus Staumont p[hiloso]phus in Castro 1780
      Handwritten
    ","
      Adrianus Josephus Staumont
      Adrianus josephus Staumont p[hiloso]phus in Castro 1781
      Handwritten
    ","
      BIBC
      CaaCDCastrum9
    ","
      Folded leaflet ""Astronomiae tab: 1"" is missing.
    ",,,,,,,,,
00540nx  a22001691i 4500,22318156760001488,9979964850101488,1103072u    8   4001uulat0000000,20150108153427.0,"
      DIGI_0033_0080
    ","
      Moorthamers (Brussel)
      Manuscriptacq
      201103
    ","
      BIBC
      BRES
      Ms. 280
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus20
    ","
      BIBC
      C87
    ","
      Bandcover in poor condition : serveral notes on endpapers
    ","
      Some folios are pulled out at the end of the manuscript
    ","
      19640630
    ",,,,,,,,,
00429nu  a2200157un 4500,22310694250001488,9922121260101488,20150211112242.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0132
    ","
      The Romantic Agony
      Manuscriptacq
      201104
      BIBC
      24-25 november 2000
    ","
      BIBC
      BRES
      Ms. 332
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD20
    ","
      2001124
    ",,,,,,,,,,,,
00566nx  a22001691i 4500,22317225080001488,9977373610101488,1010202u    8   4001uulat0000000,20150121104155.0,"
      DIGI_033_0031
    ","
      de Tavernier (Gent)
      Manuscriptacq
      201010
    ","
      du Mont, Joannes
      Handwritten
    ","
      BIBC
      BRES
      Ms. 231
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      du Mont, Joannes
      Ex Libris Joannis Du Mon celeberrimi paedagogii Castrensis Alumni anno Domini 1762
      Handwritten
    ","
      BIBC
      CaaCDCastrum5
    ","
      BIBC
      C7
    ","
      19400220
    ",,,,,,,,,
00599nx  a22001811i 4500,22317392390001488,9977440210101488,20150121092341.0,1010282u    8   4001uulat0000000,"
      DIGI_0033_0013
    ","
      Van Herck (veiling Antwerpen)
      Manuscriptacq
      201010
    ","
      De Ridder, Ed.
      Bookplate
    ","
      De Ridder, Ed.
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 213
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      De Ridder, Ed.
      Ex libris Ed. Deridder
      Bookplate
    ","
      De Ridder, Ed.
      Ex libris Ed. Deridder
      Ownership stamp
    ","
      BIBC
      CaaCDLilium9
    ","
      1960
    ",,,,,,,,
00408nx  a22001451i 4500,22317089210001488,9977313230101488,20150114141016.0,0603302u    8   4001uulat0000000,"
      DIGI_0033_0002
    ","
      The Romantic Agony
      Manuscriptacq
      201010
      2006, cat. 29, nr. 996
    ","
      BIBC
      BRES
      Ms. 202
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDLilium2
    ","
      200604
    ",,,,,,,,,,,,
00534nx  a22001811i 4500,22318125370001488,9979977170101488,1103092u    8   4001uulat0000000,20150203113002.0,"
      DIGI_0033_0085
    ","
      Moorthamers (Brussel)
      Manuscriptacq
      201103
    ","
      Lunden
      Handwritten
    ","
      BIBC
      BRES
      Ms. 285
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Lunden
      Lunden 1780
      Handwritten
    ","
      BIBC
      CaaCDPorcus33
    ","
      BIBC
      C81
    ","
      At the end : lots of folia are missing
    ","
      19640225
    ",,,,,,,,
00465nx  a22001571i 4500,22332316150001488,9932447570101488,20150122133730.0,0803262u    8   4001uulat0000000,"
      DIGI_0033_0052
    ","
      Van de Wiele, Marc (Brugge)
      Manuscriptacq
      201101
    ","
      BIBC
      BRES
      Ms. 252
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      F. 81-82: small loose leaf inserted
    ","
      F. 22-23: very small loose leaf inserted
    ","
      2008
    ",,,,,,,,,,,
00305nx  a22001211i 4500,22318153170001488,9979901050101488,1102212u    8   4001uulat0000000,20150128112038.0,"
      DIGI_0033_0070
    ","
      201102
    ","
      BIBC
      BRES
      Ms. 270
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus18
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22317304620001488,9977403690101488,1010202u    8   4001uulat0000000,,"
      2011: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      BIBC
      BRES
      Ms. 205
    ","
      Devroe (Leuven)
      Manuscriptacq
      201010
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      1990
    ","
      van Cantelbeke, Henricus Joannes
      Ex Libris Henrici Joannis Van Cantelbeek
      Handwritten
    ","
      BIBC
      CaaCDLilium4/3
    ","
      van Cantelbeke, Henricus Joannes
      Handwritten
    ",,,,,,,,,,
01064nu  a2200253un 4500,22280032600001488,998296080101488,20141218133618.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0036
    ","
      #KUL : BIBC-aankoop87.03.05
      Manuscriptacq
      201011
    ","
      Handwritten
    ","
      Bibl. F. F. Min. Capucinorum
      Bookplate
      Ownership stamp
    ","
      Bibl. Fr. Min. Capucinorum, Lovanii
      Ownership stamp
    ","
      Bibliotheca Capucinorum Brugis ad S. Claram
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 236
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Ex libris [scratched out] Bruxellensis
      Handwritten
    ","
      Bibl. F. F. Min. Capucinorum
      Bibl. F. F. Min. Capucinorum
      Bookplate
      Ownership stamp
    ","
      Bibl. Fr. Min. Capucinorum, Lovanii
      Bibl. Fr. Min. Capucinorum Lovanii
      Ownership stamp
    ","
      Bibliotheca Capucinorum Brugis ad S. Claram
      Bibliotheca Capucinorum Brugis ad S. Claram
      Ownership stamp
    ","
      BIBC
      CaaCDCastrum10
    ","
      19870305
    ",,,,
00370nx  a22001331i 4500,22317062090001488,9977310530101488,1010062u    8   4001uulat0000000,20150120110407.0,"
      DIGI_0033_0024
    ","
      Claeys-Bouuaert (Gent)
      Manuscriptdon
      201010
    ","
      BIBC
      CaaCDLilium16
    ","
      BIBC
      BRES
      Ms. 224
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      C22
    ",,,,,,,,,,,,
00419nx  a22001451i 4500,22333781020001488,9932490870101488,0804082u    8   4001uulat0000000,20150205093120.0,"
      DIGI_0033_0100
    ","
      Antiquariaat Theo De Boer (Zandpol, Nederland)
      Manuscriptacq
      201103
    ","
      BIBC
      BRES
      Ms. 300
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bandcover in poor condition
    ","
      2007
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22317383720001488,9977438360101488,1010272u    8   4001uulat0000000,,"
      2011: book restoration by Myriam van Herck (Heverlee), book restorator
    ","
      BIBC
      BRES
      Ms. 209
    ","
      Devroe (Leuven)
      Manuscriptacq
      201010
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      1990
    ","
      van Cantelbeke, Henricus Joannes
      Ex Libris Henrici Joannis Van Cantelbeek
      Handwritten
    ","
      BIBC
      CaaCDLilium6
    ","
      van Cantelbeke, Henricus Joannes
      Handwritten
    ",,,,,,,,,,
     nx  a22     1i 4500,22317765610001488,9977710810101488,1101062u    8   4001uulat0000000,,"
      2011: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      BIBC
      BRES
      Ms. 208
    ","
      Devroe (Leuven)
      Manuscriptacq
      201101
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      1990
    ","
      van Cantelbeke, Henricus Joannes
      Ex Libris Henrici Joannis Van Cantelbeek
      Handwritten
    ","
      BIBC
      CaaCDLilium5/2
    ","
      van Cantelbeke, Henricus Joannes
      Handwritten
    ",,,,,,,,,,
00784nx  a22001931i 4500,22317689240001488,9977638180101488,20150107162853.0,1012132u    8   4001uulat0000000,"
      DIGI_0033_0044
    ","
      PK479-2
      201012
    ","
      Van Aerchot, Michael
      Handwritten
    ","
      Van Aerchot, Michael
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 244
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Van Aerchot, Michael
      ex Libris m: Van Aerschot diesthensis, Falconis Logici A° 1761
      Handwritten
    ","
      Van Aerchot, Michael
      Ex Libris Michaelis Van Aerschot Diesthemiensis habitat in Beveren 25 Novembris anno 1772
      Ownership stamp
    ","
      BIBC
      CaaCDFalco7
    ","
      F. 57v-58r and f. 67v-68r : strip of paper is inserted
    ","
      F. 235 is incomplete
    ",,,,,,,
     nx  a22     1i 4500,22317398050001488,9977438160101488,1010272u    8   4001uulat0000000,,"
      2011: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      BIBC
      BRES
      Ms. 210
    ","
      Devroe (Leuven)
      Manuscriptacq
      201010
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      1990
    ","
      van Cantelbeke, Henricus Joannes
      Ex Libris Henrici Joannis Van Cantelbeek
      Handwritten
    ","
      BIBC
      CaaCDLilium5/1
    ","
      van Cantelbeke, Henricus Joannes
      Handwritten
    ",,,,,,,,,,
00512nx  a22001811i 4500,22317860420001488,9977764740101488,1101172u    8   4001uulat0000000,20150127131227.0,"
      DIGI_0033_0059
    ","
      Hanssen (pastoor te Kuringen)
      Manuscriptdon
      201101
    ","
      IF
      Handwritten
    ","
      BIBC
      BRES
      Ms. 259
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      IF
      Handwritten
    ","
      BIBC
      CaaCDPorcus5
    ","
      BIBC
      C65
    ","
      Bandover is in very poor condition
    ","
      1961
    ",,,,,,,,
00354nx  a22001331i 4500,22317922150001488,9980008520101488,20150204144719.0,1103162u    8   4001uulat0000000,"
      DIGI_0033_0094
    ","
      K129819
      Manuscriptacq
      201103
    ","
      BIBC
      BRES
      Ms. 294
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus30
    ","
      19800110
    ",,,,,,,,,,,,
00509nx  a22001571i 4500,22318260480001488,9979996150101488,20150204144724.0,1103142u    8   4001uulat0000000,"
      DIGI_0033_0092
    ","
      K129821
      Manuscriptacq
      201103
    ","
      Serjacob J. B.
      Handwritten
    ","
      BIBC
      BRES
      Ms. 292
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Serjacob J. B.
      Ex libris J: B: Serjacob Angiensis Philosophi paedagogii Porci
      Handwritten
    ","
      BIBC
      CaaCDporcus29/II
    ","
      19800110
    ",,,,,,,,,,
     nx  a22     1i 4500,22320223280001488,9984913130101488,1203162u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Herne Heeswijk
      Ms. K12
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
00561nx  a22001571i 4500,22320320090001488,9984952000101488,1203272u    8   4001uulat0000000,20150216113928.0,"
      DIGI_0033_0150
    ","
      The Romantic Agony
      2012, cat. 47, nr. 965
      Monographacq
      201205
    ","
      Meugens, Joannes
      Handwritten
    ","
      BIBC
      BRES
      Ms. 350
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Meugens, Joannes
      Hic dibetur Joanni Meugens ex oorbeek anno Domini 1771
      Handwritten
    ","
      Bandcover in bad condition. Front is missing
    ","
      20120402
    ",,,,,,,,,,,
     nx  a22     1i 4500,22319891000001488,9983138770101488,1109282u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 346
    ","
      PK479-1
      201109
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Serverand, ?. P. D.
      ?. P D Serverand
      Handwritten
    ","
      Serverand, ?. P. D.
      Handwritten
    ",,,,,,,,,,,,,,
00701nx  a22001811i 4500,22318499220001488,9980204150101488,1104282u    8   4001uulat0000000,20150211143254.0,"
      DIGI_0033_0134
    ","
      Antiquariaat Henri Godts (Brussel)
      Manuscriptacq
      201104
      nr. 420
    ","
      Coll. Stae Barb. Gandae
      Ownership stamp
    ","
      Henri Godts (Brussel)
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 334
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Coll. Stae Barb. Gandae
      Coll. Stae Barb. Gandae
      Ownership stamp
    ","
      Henri Godts (Brussel)
      [...]oritate instituti / [...]ctionem anno 2006 / Godts bibliopola
      Ownership stamp
    ","
      BIBC
      CaaCD12
    ","
      20061010
    ",,,,,,,,
00488nx  a22001571i 4500,22318374860001488,9980179140101488,1104202u    8   4001uulat0000000,20150212093101.0,"
      DIGI_0033_0129
    ","
      EYL (Amsterdam)
      Manuscriptacq
      201104
    ","
      BIBC
      BRES
      Ms. 329
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD13
    ","
      No bandcover ; manuscript is in very poor condition
    ","
      F. 104-105 : 1 small leaflet with notes in inserted
    ","
      1985
    ",,,,,,,,,,
